template,count,first_seen,last_seen,sample
GC overhead limit warning: pause=532ms heap=<num>%,10,2026-06-01T14:12:36.414Z,2026-06-01T23:41:04.076Z,GC overhead limit warning: pause=532ms heap=85%
Health check response time elevated endpoint=/health latency=121ms,9,2026-06-01T00:41:23.683Z,2026-06-01T16:13:20.658Z,Health check response time elevated endpoint=/health latency=121ms
Health check response time elevated endpoint=/health latency=236ms,9,2026-06-01T01:31:52.973Z,2026-06-01T23:34:38.157Z,Health check response time elevated endpoint=/health latency=236ms
Health check response time elevated endpoint=/health latency=177ms,9,2026-06-01T02:55:36.351Z,2026-06-01T23:33:08.584Z,Health check response time elevated endpoint=/health latency=177ms
Health check response time elevated endpoint=/health latency=140ms,9,2026-06-01T03:19:27.339Z,2026-06-01T18:23:38.508Z,Health check response time elevated endpoint=/health latency=140ms
GC overhead limit warning: pause=272ms heap=<num>%,9,2026-06-01T07:24:55.560Z,2026-06-01T21:29:23.335Z,GC overhead limit warning: pause=272ms heap=94%
GC overhead limit warning: pause=737ms heap=<num>%,9,2026-06-01T09:22:35.592Z,2026-06-01T23:55:57.620Z,GC overhead limit warning: pause=737ms heap=97%
Health check response time elevated endpoint=/health latency=210ms,9,2026-06-01T09:43:07.158Z,2026-06-01T22:20:42.778Z,Health check response time elevated endpoint=/health latency=210ms
GC overhead limit warning: pause=765ms heap=<num>%,9,2026-06-01T11:38:43.734Z,2026-06-01T23:49:51.560Z,GC overhead limit warning: pause=765ms heap=86%
Health check response time elevated endpoint=/health latency=237ms,8,2026-06-01T00:04:16.135Z,2026-06-01T12:18:26.879Z,Health check response time elevated endpoint=/health latency=237ms
Health check response time elevated endpoint=/health latency=122ms,8,2026-06-01T00:19:43.123Z,2026-06-01T22:03:21.892Z,Health check response time elevated endpoint=/health latency=122ms
Health check response time elevated endpoint=/health latency=141ms,8,2026-06-01T00:38:00.345Z,2026-06-01T23:19:24.839Z,Health check response time elevated endpoint=/health latency=141ms
Health check response time elevated endpoint=/health latency=200ms,8,2026-06-01T01:00:52.282Z,2026-06-01T21:51:40.995Z,Health check response time elevated endpoint=/health latency=200ms
Health check response time elevated endpoint=/health latency=223ms,8,2026-06-01T01:28:00.870Z,2026-06-01T22:15:51.697Z,Health check response time elevated endpoint=/health latency=223ms
Health check response time elevated endpoint=/health latency=173ms,8,2026-06-01T02:06:51.484Z,2026-06-01T23:39:38.235Z,Health check response time elevated endpoint=/health latency=173ms
Health check response time elevated endpoint=/health latency=144ms,8,2026-06-01T02:53:17.289Z,2026-06-01T23:44:54.251Z,Health check response time elevated endpoint=/health latency=144ms
Health check response time elevated endpoint=/health latency=170ms,8,2026-06-01T03:24:04.685Z,2026-06-01T22:11:15.600Z,Health check response time elevated endpoint=/health latency=170ms
Health check response time elevated endpoint=/health latency=220ms,8,2026-06-01T04:18:28.625Z,2026-06-01T21:29:04.393Z,Health check response time elevated endpoint=/health latency=220ms
GC overhead limit warning: pause=601ms heap=<num>%,8,2026-06-01T06:38:50.712Z,2026-06-01T23:06:39.365Z,GC overhead limit warning: pause=601ms heap=88%
Health check response time elevated endpoint=/health latency=154ms,8,2026-06-01T06:42:34.555Z,2026-06-01T22:48:36.809Z,Health check response time elevated endpoint=/health latency=154ms
GC overhead limit warning: pause=693ms heap=<num>%,8,2026-06-01T07:04:32.360Z,2026-06-01T20:35:36.095Z,GC overhead limit warning: pause=693ms heap=88%
GC overhead limit warning: pause=212ms heap=<num>%,8,2026-06-01T08:35:44.043Z,2026-06-01T23:47:26.400Z,GC overhead limit warning: pause=212ms heap=95%
GC overhead limit warning: pause=599ms heap=<num>%,8,2026-06-01T08:45:03.422Z,2026-06-01T21:25:23.981Z,GC overhead limit warning: pause=599ms heap=96%
GC overhead limit warning: pause=683ms heap=<num>%,8,2026-06-01T10:05:33.480Z,2026-06-01T22:34:21.257Z,GC overhead limit warning: pause=683ms heap=95%
GC overhead limit warning: pause=767ms heap=<num>%,8,2026-06-01T11:39:03.601Z,2026-06-01T21:45:08.222Z,GC overhead limit warning: pause=767ms heap=91%
GC overhead limit warning: pause=609ms heap=<num>%,8,2026-06-01T13:06:35.319Z,2026-06-01T21:16:52.123Z,GC overhead limit warning: pause=609ms heap=97%
GC overhead limit warning: pause=417ms heap=<num>%,8,2026-06-01T13:28:55.755Z,2026-06-01T23:44:34.195Z,GC overhead limit warning: pause=417ms heap=90%
GC overhead limit warning: pause=471ms heap=<num>%,8,2026-06-01T14:24:03.851Z,2026-06-01T23:23:54.749Z,GC overhead limit warning: pause=471ms heap=98%
GC overhead limit warning: pause=717ms heap=<num>%,8,2026-06-01T14:29:17.795Z,2026-06-01T22:11:11.128Z,GC overhead limit warning: pause=717ms heap=98%
GC overhead limit warning: pause=423ms heap=<num>%,8,2026-06-01T14:39:50.065Z,2026-06-01T21:24:12.804Z,GC overhead limit warning: pause=423ms heap=86%
GC overhead limit warning: pause=401ms heap=<num>%,8,2026-06-01T14:56:17.332Z,2026-06-01T23:50:39.157Z,GC overhead limit warning: pause=401ms heap=95%
GC overhead limit warning: pause=403ms heap=<num>%,8,2026-06-01T15:25:52.227Z,2026-06-01T23:28:20.828Z,GC overhead limit warning: pause=403ms heap=96%
GC overhead limit warning: pause=414ms heap=<num>%,8,2026-06-01T16:34:43.966Z,2026-06-01T23:23:42.300Z,GC overhead limit warning: pause=414ms heap=92%
Health check response time elevated endpoint=/health latency=148ms,7,2026-06-01T00:08:20.337Z,2026-06-01T21:18:34.815Z,Health check response time elevated endpoint=/health latency=148ms
Health check response time elevated endpoint=/health latency=244ms,7,2026-06-01T00:29:08.720Z,2026-06-01T21:47:27.372Z,Health check response time elevated endpoint=/health latency=244ms
Health check response time elevated endpoint=/health latency=209ms,7,2026-06-01T00:36:00.010Z,2026-06-01T22:24:48.879Z,Health check response time elevated endpoint=/health latency=209ms
Health check response time elevated endpoint=/health latency=189ms,7,2026-06-01T00:38:22.952Z,2026-06-01T16:04:08.939Z,Health check response time elevated endpoint=/health latency=189ms
Health check response time elevated endpoint=/health latency=248ms,7,2026-06-01T01:06:37.056Z,2026-06-01T12:31:17.657Z,Health check response time elevated endpoint=/health latency=248ms
Health check response time elevated endpoint=/health latency=215ms,7,2026-06-01T01:56:05.235Z,2026-06-01T22:59:33.179Z,Health check response time elevated endpoint=/health latency=215ms
Health check response time elevated endpoint=/health latency=151ms,7,2026-06-01T01:57:32.580Z,2026-06-01T23:57:02.493Z,Health check response time elevated endpoint=/health latency=151ms
Health check response time elevated endpoint=/health latency=216ms,7,2026-06-01T02:13:26.049Z,2026-06-01T22:46:55.786Z,Health check response time elevated endpoint=/health latency=216ms
Health check response time elevated endpoint=/health latency=246ms,7,2026-06-01T04:25:09.040Z,2026-06-01T22:27:49.190Z,Health check response time elevated endpoint=/health latency=246ms
Health check response time elevated endpoint=/health latency=149ms,7,2026-06-01T04:28:31.773Z,2026-06-01T21:46:40.842Z,Health check response time elevated endpoint=/health latency=149ms
Health check response time elevated endpoint=/health latency=188ms,7,2026-06-01T04:46:58.153Z,2026-06-01T21:22:27.075Z,Health check response time elevated endpoint=/health latency=188ms
Health check response time elevated endpoint=/health latency=245ms,7,2026-06-01T04:54:25.949Z,2026-06-01T12:33:11.807Z,Health check response time elevated endpoint=/health latency=245ms
Health check response time elevated endpoint=/health latency=207ms,7,2026-06-01T04:59:31.013Z,2026-06-01T14:10:38.830Z,Health check response time elevated endpoint=/health latency=207ms
Health check response time elevated endpoint=/health latency=134ms,7,2026-06-01T05:05:05.892Z,2026-06-01T23:32:17.483Z,Health check response time elevated endpoint=/health latency=134ms
Health check response time elevated endpoint=/health latency=186ms,7,2026-06-01T05:08:30.879Z,2026-06-01T19:31:55.109Z,Health check response time elevated endpoint=/health latency=186ms
GC overhead limit warning: pause=743ms heap=<num>%,7,2026-06-01T06:33:15.277Z,2026-06-01T23:11:21.803Z,GC overhead limit warning: pause=743ms heap=99%
GC overhead limit warning: pause=528ms heap=<num>%,7,2026-06-01T06:45:45.575Z,2026-06-01T22:04:13.547Z,GC overhead limit warning: pause=528ms heap=92%
GC overhead limit warning: pause=410ms heap=<num>%,7,2026-06-01T06:47:33.308Z,2026-06-01T21:43:37.543Z,GC overhead limit warning: pause=410ms heap=97%
GC overhead limit warning: pause=769ms heap=<num>%,7,2026-06-01T06:51:30.951Z,2026-06-01T22:41:39.463Z,GC overhead limit warning: pause=769ms heap=85%
GC overhead limit warning: pause=535ms heap=<num>%,7,2026-06-01T07:34:15.909Z,2026-06-01T23:46:10.191Z,GC overhead limit warning: pause=535ms heap=92%
Health check response time elevated endpoint=/health latency=206ms,7,2026-06-01T07:38:10.000Z,2026-06-01T23:31:22.521Z,Health check response time elevated endpoint=/health latency=206ms
Health check response time elevated endpoint=/health latency=194ms,7,2026-06-01T08:22:48.740Z,2026-06-01T23:36:35.362Z,Health check response time elevated endpoint=/health latency=194ms
GC overhead limit warning: pause=754ms heap=<num>%,7,2026-06-01T08:34:51.554Z,2026-06-01T21:26:20.444Z,GC overhead limit warning: pause=754ms heap=95%
Health check response time elevated endpoint=/health latency=249ms,7,2026-06-01T08:42:15.340Z,2026-06-01T19:40:13.375Z,Health check response time elevated endpoint=/health latency=249ms
GC overhead limit warning: pause=659ms heap=<num>%,7,2026-06-01T09:25:02.393Z,2026-06-01T21:42:02.272Z,GC overhead limit warning: pause=659ms heap=93%
GC overhead limit warning: pause=585ms heap=<num>%,7,2026-06-01T09:34:54.519Z,2026-06-01T22:17:11.659Z,GC overhead limit warning: pause=585ms heap=89%
GC overhead limit warning: pause=415ms heap=<num>%,7,2026-06-01T09:38:20.851Z,2026-06-01T22:19:42.509Z,GC overhead limit warning: pause=415ms heap=96%
GC overhead limit warning: pause=572ms heap=<num>%,7,2026-06-01T09:40:36.683Z,2026-06-01T20:52:36.338Z,GC overhead limit warning: pause=572ms heap=98%
GC overhead limit warning: pause=287ms heap=<num>%,7,2026-06-01T09:42:39.961Z,2026-06-01T23:28:26.932Z,GC overhead limit warning: pause=287ms heap=99%
GC overhead limit warning: pause=576ms heap=<num>%,7,2026-06-01T10:25:13.504Z,2026-06-01T22:18:14.366Z,GC overhead limit warning: pause=576ms heap=97%
GC overhead limit warning: pause=689ms heap=<num>%,7,2026-06-01T10:35:57.457Z,2026-06-01T22:39:07.802Z,GC overhead limit warning: pause=689ms heap=96%
GC overhead limit warning: pause=632ms heap=<num>%,7,2026-06-01T11:27:40.220Z,2026-06-01T20:54:50.993Z,GC overhead limit warning: pause=632ms heap=97%
GC overhead limit warning: pause=757ms heap=<num>%,7,2026-06-01T11:31:02.068Z,2026-06-01T20:21:52.223Z,GC overhead limit warning: pause=757ms heap=96%
GC overhead limit warning: pause=726ms heap=<num>%,7,2026-06-01T12:20:05.438Z,2026-06-01T22:16:16.823Z,GC overhead limit warning: pause=726ms heap=87%
GC overhead limit warning: pause=405ms heap=<num>%,7,2026-06-01T12:38:27.603Z,2026-06-01T18:49:21.093Z,GC overhead limit warning: pause=405ms heap=92%
GC overhead limit warning: pause=792ms heap=<num>%,7,2026-06-01T12:42:22.768Z,2026-06-01T23:02:13.251Z,GC overhead limit warning: pause=792ms heap=85%
GC overhead limit warning: pause=214ms heap=<num>%,7,2026-06-01T13:04:19.137Z,2026-06-01T23:11:56.774Z,GC overhead limit warning: pause=214ms heap=89%
GC overhead limit warning: pause=383ms heap=<num>%,7,2026-06-01T13:34:19.730Z,2026-06-01T23:04:42.208Z,GC overhead limit warning: pause=383ms heap=90%
GC overhead limit warning: pause=340ms heap=<num>%,7,2026-06-01T14:23:44.276Z,2026-06-01T19:57:41.871Z,GC overhead limit warning: pause=340ms heap=86%
GC overhead limit warning: pause=238ms heap=<num>%,7,2026-06-01T14:27:21.694Z,2026-06-01T22:47:02.892Z,GC overhead limit warning: pause=238ms heap=89%
GC overhead limit warning: pause=262ms heap=<num>%,7,2026-06-01T14:31:07.261Z,2026-06-01T22:04:26.526Z,GC overhead limit warning: pause=262ms heap=92%
GC overhead limit warning: pause=357ms heap=<num>%,7,2026-06-01T14:36:18.323Z,2026-06-01T23:37:09.343Z,GC overhead limit warning: pause=357ms heap=95%
GC overhead limit warning: pause=526ms heap=<num>%,7,2026-06-01T15:18:20.468Z,2026-06-01T22:50:14.895Z,GC overhead limit warning: pause=526ms heap=97%
GC overhead limit warning: pause=554ms heap=<num>%,7,2026-06-01T15:50:47.844Z,2026-06-01T22:09:45.548Z,GC overhead limit warning: pause=554ms heap=94%
GC overhead limit warning: pause=508ms heap=<num>%,7,2026-06-01T16:00:54.195Z,2026-06-01T22:43:52.288Z,GC overhead limit warning: pause=508ms heap=85%
GC overhead limit warning: pause=371ms heap=<num>%,7,2026-06-01T16:18:21.057Z,2026-06-01T23:01:52.389Z,GC overhead limit warning: pause=371ms heap=92%
GC overhead limit warning: pause=684ms heap=<num>%,7,2026-06-01T17:20:15.746Z,2026-06-01T22:51:26.728Z,GC overhead limit warning: pause=684ms heap=95%
Health check response time elevated endpoint=/health latency=208ms,6,2026-06-01T00:19:05.404Z,2026-06-01T21:56:38.147Z,Health check response time elevated endpoint=/health latency=208ms
Health check response time elevated endpoint=/health latency=229ms,6,2026-06-01T00:59:56.057Z,2026-06-01T21:24:21.600Z,Health check response time elevated endpoint=/health latency=229ms
Health check response time elevated endpoint=/health latency=219ms,6,2026-06-01T01:01:32.548Z,2026-06-01T21:31:50.298Z,Health check response time elevated endpoint=/health latency=219ms
Health check response time elevated endpoint=/health latency=199ms,6,2026-06-01T01:48:36.616Z,2026-06-01T21:45:30.224Z,Health check response time elevated endpoint=/health latency=199ms
Health check response time elevated endpoint=/health latency=239ms,6,2026-06-01T02:48:03.515Z,2026-06-01T23:37:00.918Z,Health check response time elevated endpoint=/health latency=239ms
Health check response time elevated endpoint=/health latency=159ms,6,2026-06-01T03:11:18.048Z,2026-06-01T22:36:09.579Z,Health check response time elevated endpoint=/health latency=159ms
Health check response time elevated endpoint=/health latency=133ms,6,2026-06-01T03:16:04.419Z,2026-06-01T23:01:52.077Z,Health check response time elevated endpoint=/health latency=133ms
Health check response time elevated endpoint=/health latency=135ms,6,2026-06-01T03:16:45.205Z,2026-06-01T20:28:14.529Z,Health check response time elevated endpoint=/health latency=135ms
Health check response time elevated endpoint=/health latency=179ms,6,2026-06-01T03:27:06.722Z,2026-06-01T21:35:30.443Z,Health check response time elevated endpoint=/health latency=179ms
Health check response time elevated endpoint=/health latency=127ms,6,2026-06-01T03:43:34.250Z,2026-06-01T21:57:27.574Z,Health check response time elevated endpoint=/health latency=127ms
Health check response time elevated endpoint=/health latency=124ms,6,2026-06-01T04:53:13.172Z,2026-06-01T22:46:34.697Z,Health check response time elevated endpoint=/health latency=124ms
Health check response time elevated endpoint=/health latency=130ms,6,2026-06-01T05:23:39.796Z,2026-06-01T21:27:46.689Z,Health check response time elevated endpoint=/health latency=130ms
Health check response time elevated endpoint=/health latency=165ms,6,2026-06-01T05:30:32.395Z,2026-06-01T23:13:14.343Z,Health check response time elevated endpoint=/health latency=165ms
GC overhead limit warning: pause=348ms heap=<num>%,6,2026-06-01T06:37:34.183Z,2026-06-01T19:56:45.296Z,GC overhead limit warning: pause=348ms heap=97%
GC overhead limit warning: pause=780ms heap=<num>%,6,2026-06-01T06:42:25.146Z,2026-06-01T22:19:13.430Z,GC overhead limit warning: pause=780ms heap=92%
GC overhead limit warning: pause=433ms heap=<num>%,6,2026-06-01T06:57:08.550Z,2026-06-01T20:22:56.463Z,GC overhead limit warning: pause=433ms heap=86%
GC overhead limit warning: pause=339ms heap=<num>%,6,2026-06-01T07:16:54.722Z,2026-06-01T23:41:39.672Z,GC overhead limit warning: pause=339ms heap=96%
GC overhead limit warning: pause=616ms heap=<num>%,6,2026-06-01T07:26:42.020Z,2026-06-01T22:20:25.457Z,GC overhead limit warning: pause=616ms heap=95%
GC overhead limit warning: pause=603ms heap=<num>%,6,2026-06-01T07:38:13.047Z,2026-06-01T22:48:10.389Z,GC overhead limit warning: pause=603ms heap=91%
GC overhead limit warning: pause=282ms heap=<num>%,6,2026-06-01T07:47:43.661Z,2026-06-01T20:15:25.991Z,GC overhead limit warning: pause=282ms heap=93%
GC overhead limit warning: pause=511ms heap=<num>%,6,2026-06-01T08:43:03.048Z,2026-06-01T22:54:40.966Z,GC overhead limit warning: pause=511ms heap=97%
GC overhead limit warning: pause=252ms heap=<num>%,6,2026-06-01T09:02:40.112Z,2026-06-01T19:41:08.621Z,GC overhead limit warning: pause=252ms heap=86%
GC overhead limit warning: pause=574ms heap=<num>%,6,2026-06-01T09:03:09.453Z,2026-06-01T21:26:02.156Z,GC overhead limit warning: pause=574ms heap=86%
Health check response time elevated endpoint=/health latency=197ms,6,2026-06-01T09:09:33.937Z,2026-06-01T18:48:05.951Z,Health check response time elevated endpoint=/health latency=197ms
GC overhead limit warning: pause=657ms heap=<num>%,6,2026-06-01T09:10:28.962Z,2026-06-01T23:39:26.380Z,GC overhead limit warning: pause=657ms heap=87%
GC overhead limit warning: pause=710ms heap=<num>%,6,2026-06-01T09:32:14.293Z,2026-06-01T21:47:23.571Z,GC overhead limit warning: pause=710ms heap=85%
Health check response time elevated endpoint=/health latency=174ms,6,2026-06-01T09:33:55.021Z,2026-06-01T21:34:24.910Z,Health check response time elevated endpoint=/health latency=174ms
GC overhead limit warning: pause=460ms heap=<num>%,6,2026-06-01T09:47:16.938Z,2026-06-01T20:16:18.985Z,GC overhead limit warning: pause=460ms heap=87%
GC overhead limit warning: pause=670ms heap=<num>%,6,2026-06-01T10:05:57.015Z,2026-06-01T23:01:42.113Z,GC overhead limit warning: pause=670ms heap=85%
GC overhead limit warning: pause=431ms heap=<num>%,6,2026-06-01T10:06:05.232Z,2026-06-01T22:37:54.660Z,GC overhead limit warning: pause=431ms heap=87%
GC overhead limit warning: pause=264ms heap=<num>%,6,2026-06-01T10:43:31.044Z,2026-06-01T23:30:17.054Z,GC overhead limit warning: pause=264ms heap=89%
GC overhead limit warning: pause=206ms heap=<num>%,6,2026-06-01T11:04:47.503Z,2026-06-01T23:02:54.475Z,GC overhead limit warning: pause=206ms heap=96%
GC overhead limit warning: pause=335ms heap=<num>%,6,2026-06-01T11:36:09.597Z,2026-06-01T23:00:13.407Z,GC overhead limit warning: pause=335ms heap=86%
GC overhead limit warning: pause=373ms heap=<num>%,6,2026-06-01T12:03:01.123Z,2026-06-01T23:39:04.331Z,GC overhead limit warning: pause=373ms heap=97%
GC overhead limit warning: pause=320ms heap=<num>%,6,2026-06-01T12:03:43.490Z,2026-06-01T20:29:38.384Z,GC overhead limit warning: pause=320ms heap=86%
GC overhead limit warning: pause=466ms heap=<num>%,6,2026-06-01T12:30:32.340Z,2026-06-01T22:48:49.124Z,GC overhead limit warning: pause=466ms heap=88%
GC overhead limit warning: pause=426ms heap=<num>%,6,2026-06-01T12:50:00.975Z,2026-06-01T22:49:57.671Z,GC overhead limit warning: pause=426ms heap=87%
GC overhead limit warning: pause=374ms heap=<num>%,6,2026-06-01T13:00:06.472Z,2026-06-01T23:44:23.464Z,GC overhead limit warning: pause=374ms heap=94%
GC overhead limit warning: pause=677ms heap=<num>%,6,2026-06-01T13:22:41.263Z,2026-06-01T22:00:57.387Z,GC overhead limit warning: pause=677ms heap=91%
GC overhead limit warning: pause=637ms heap=<num>%,6,2026-06-01T13:26:05.934Z,2026-06-01T22:33:44.576Z,GC overhead limit warning: pause=637ms heap=90%
GC overhead limit warning: pause=247ms heap=<num>%,6,2026-06-01T13:46:16.139Z,2026-06-01T18:06:43.327Z,GC overhead limit warning: pause=247ms heap=90%
GC overhead limit warning: pause=559ms heap=<num>%,6,2026-06-01T14:29:57.237Z,2026-06-01T22:14:23.007Z,GC overhead limit warning: pause=559ms heap=90%
GC overhead limit warning: pause=391ms heap=<num>%,6,2026-06-01T14:46:47.481Z,2026-06-01T22:45:11.664Z,GC overhead limit warning: pause=391ms heap=93%
GC overhead limit warning: pause=402ms heap=<num>%,6,2026-06-01T14:49:09.771Z,2026-06-01T22:06:44.126Z,GC overhead limit warning: pause=402ms heap=91%
GC overhead limit warning: pause=356ms heap=<num>%,6,2026-06-01T14:55:01.318Z,2026-06-01T22:04:26.165Z,GC overhead limit warning: pause=356ms heap=94%
GC overhead limit warning: pause=504ms heap=<num>%,6,2026-06-01T15:05:49.032Z,2026-06-01T23:40:05.250Z,GC overhead limit warning: pause=504ms heap=87%
GC overhead limit warning: pause=775ms heap=<num>%,6,2026-06-01T15:11:28.873Z,2026-06-01T23:30:53.585Z,GC overhead limit warning: pause=775ms heap=94%
GC overhead limit warning: pause=534ms heap=<num>%,6,2026-06-01T15:14:38.956Z,2026-06-01T23:36:43.366Z,GC overhead limit warning: pause=534ms heap=85%
GC overhead limit warning: pause=304ms heap=<num>%,6,2026-06-01T15:17:51.370Z,2026-06-01T23:18:58.528Z,GC overhead limit warning: pause=304ms heap=88%
GC overhead limit warning: pause=347ms heap=<num>%,6,2026-06-01T15:19:38.141Z,2026-06-01T21:41:07.453Z,GC overhead limit warning: pause=347ms heap=94%
GC overhead limit warning: pause=750ms heap=<num>%,6,2026-06-01T15:23:01.745Z,2026-06-01T23:19:01.142Z,GC overhead limit warning: pause=750ms heap=98%
GC overhead limit warning: pause=643ms heap=<num>%,6,2026-06-01T15:25:02.819Z,2026-06-01T23:35:57.140Z,GC overhead limit warning: pause=643ms heap=85%
GC overhead limit warning: pause=330ms heap=<num>%,6,2026-06-01T15:29:38.071Z,2026-06-01T18:51:58.523Z,GC overhead limit warning: pause=330ms heap=90%
GC overhead limit warning: pause=297ms heap=<num>%,6,2026-06-01T15:50:34.531Z,2026-06-01T23:10:53.281Z,GC overhead limit warning: pause=297ms heap=90%
GC overhead limit warning: pause=696ms heap=<num>%,6,2026-06-01T16:44:37.449Z,2026-06-01T22:39:40.337Z,GC overhead limit warning: pause=696ms heap=93%
GC overhead limit warning: pause=770ms heap=<num>%,6,2026-06-01T16:45:20.073Z,2026-06-01T23:44:24.343Z,GC overhead limit warning: pause=770ms heap=85%
GC overhead limit warning: pause=798ms heap=<num>%,6,2026-06-01T16:47:20.395Z,2026-06-01T23:53:16.648Z,GC overhead limit warning: pause=798ms heap=86%
GC overhead limit warning: pause=652ms heap=<num>%,6,2026-06-01T17:06:55.159Z,2026-06-01T22:50:05.442Z,GC overhead limit warning: pause=652ms heap=87%
GC overhead limit warning: pause=309ms heap=<num>%,6,2026-06-01T17:09:16.976Z,2026-06-01T22:55:51.675Z,GC overhead limit warning: pause=309ms heap=89%
GC overhead limit warning: pause=235ms heap=<num>%,6,2026-06-01T17:13:02.816Z,2026-06-01T23:53:31.572Z,GC overhead limit warning: pause=235ms heap=93%
GC overhead limit warning: pause=270ms heap=<num>%,6,2026-06-01T18:43:49.084Z,2026-06-01T23:54:42.494Z,GC overhead limit warning: pause=270ms heap=99%
Health check response time elevated endpoint=/health latency=136ms,5,2026-06-01T00:03:01.391Z,2026-06-01T22:26:20.548Z,Health check response time elevated endpoint=/health latency=136ms
Health check response time elevated endpoint=/health latency=175ms,5,2026-06-01T00:22:51.662Z,2026-06-01T21:41:52.755Z,Health check response time elevated endpoint=/health latency=175ms
Health check response time elevated endpoint=/health latency=212ms,5,2026-06-01T00:38:17.243Z,2026-06-01T20:40:07.410Z,Health check response time elevated endpoint=/health latency=212ms
Health check response time elevated endpoint=/health latency=120ms,5,2026-06-01T00:42:32.918Z,2026-06-01T21:28:31.523Z,Health check response time elevated endpoint=/health latency=120ms
Health check response time elevated endpoint=/health latency=138ms,5,2026-06-01T00:45:38.176Z,2026-06-01T13:59:53.465Z,Health check response time elevated endpoint=/health latency=138ms
Health check response time elevated endpoint=/health latency=226ms,5,2026-06-01T01:02:11.588Z,2026-06-01T22:26:18.268Z,Health check response time elevated endpoint=/health latency=226ms
Health check response time elevated endpoint=/health latency=243ms,5,2026-06-01T01:04:05.408Z,2026-06-01T23:11:30.197Z,Health check response time elevated endpoint=/health latency=243ms
Health check response time elevated endpoint=/health latency=201ms,5,2026-06-01T01:10:04.506Z,2026-06-01T23:31:45.713Z,Health check response time elevated endpoint=/health latency=201ms
Health check response time elevated endpoint=/health latency=238ms,5,2026-06-01T01:24:42.280Z,2026-06-01T22:41:20.702Z,Health check response time elevated endpoint=/health latency=238ms
Health check response time elevated endpoint=/health latency=183ms,5,2026-06-01T01:28:08.824Z,2026-06-01T20:29:55.529Z,Health check response time elevated endpoint=/health latency=183ms
Health check response time elevated endpoint=/health latency=161ms,5,2026-06-01T02:35:48.974Z,2026-06-01T18:37:26.507Z,Health check response time elevated endpoint=/health latency=161ms
Health check response time elevated endpoint=/health latency=156ms,5,2026-06-01T03:42:14.174Z,2026-06-01T23:33:32.212Z,Health check response time elevated endpoint=/health latency=156ms
Health check response time elevated endpoint=/health latency=192ms,5,2026-06-01T03:43:35.019Z,2026-06-01T23:41:12.869Z,Health check response time elevated endpoint=/health latency=192ms
Health check response time elevated endpoint=/health latency=167ms,5,2026-06-01T05:01:02.282Z,2026-06-01T14:33:31.622Z,Health check response time elevated endpoint=/health latency=167ms
Health check response time elevated endpoint=/health latency=235ms,5,2026-06-01T06:01:00.428Z,2026-06-01T12:08:33.105Z,Health check response time elevated endpoint=/health latency=235ms
GC overhead limit warning: pause=384ms heap=<num>%,5,2026-06-01T06:30:19.395Z,2026-06-01T22:04:13.618Z,GC overhead limit warning: pause=384ms heap=88%
Health check response time elevated endpoint=/health latency=129ms,5,2026-06-01T06:35:50.367Z,2026-06-01T21:46:08.530Z,Health check response time elevated endpoint=/health latency=129ms
